Age group,State,City,Location,Activity,Duration,Budget,Rating
36-40,New Mexico,Albuquerque,Sandia Peak Tramway,Boating,11,2213,4
46-50,Iowa,Des Moines,Iowa State Capitol,Boating,8,1891,2
46-50,Nebraska,Lincoln,Sunken Gardens,Theme Parks,13,2797,4
66-70,Tennessee,Nashville,Grand Ole Opry,Boating,11,2887,3
21-25,Tennessee,Memphis,Graceland,Boating,12,1987,4
31-35,Arizona,Grand Canyon Village,Grand Canyon,Sightseeing,11,1907,1
26-30,New Mexico,Santa Fe,Santa Fe Plaza,Sightseeing,1,192,3
51-55,Tennessee,Nashville,Grand Ole Opry,Hiking,6,1690,1
36-40,California,Los Angeles,Santa Monica Pier,Hiking,14,2436,1
36-40,Oregon,Eugene,Mount Pisgah,Hiking,4,827,2
36-40,Illinois,Springfield,Lincoln Home National Historic Site,Visit Historical Sites,6,1277,5
21-25,New York,New York City,Central Park,Hiking,12,1850,3
26-30,Indiana,Indianapolis,Indianapolis Motor Speedway,Sightseeing,11,1553,4
56-60,Massachusetts,Boston,Fenway Park,Visit Historical Sites,9,2159,5
46-50,California,San Diego,San Diego Zoo,Theme Parks,1,226,4
26-30,New York,Buffalo,Buffalo Zoo,Sightseeing,5,878,5
66-70,Colorado,Boulder,Boulder Creek Path,Visit Historical Sites,6,1905,3
66-70,Tennessee,Memphis,Graceland,Boating,8,2056,4
31-35,Tennessee,Memphis,Graceland,Hiking,4,582,1
21-25,Nebraska,Lincoln,Sunken Gardens,Visit Historical Sites,12,1920,1
26-30,Nevada,Las Vegas,The Strip,Hiking,2,281,4
21-25,New York,New York City,Central Park,Visit Historical Sites,11,1969,5
26-30,Washington,Spokane,Manito Park,Boating,14,1991,3
31-35,New Mexico,Albuquerque,Sandia Peak Tramway,Sightseeing,8,1406,5
31-35,Colorado,Boulder,Boulder Creek Path,Theme Parks,13,2002,3
46-50,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,8,1994,5
56-60,Michigan,Ann Arbor,University of Michigan,Theme Parks,9,1857,2
61-65,Washington,Seattle,Pike Place Market,Sightseeing,14,3745,4
21-25,Texas,Austin,Zilker Metropolitan Park,Museum,12,1714,4
46-50,Arizona,Phoenix,Desert Botanical Garden,Visit Historical Sites,2,495,4
21-25,Nebraska,Lincoln,Sunken Gardens,Museum,13,2293,4
21-25,Arizona,Phoenix,Desert Botanical Garden,Theme Parks,13,2326,4
36-40,Oregon,Portland,Portland Japanese Garden,Hiking,3,582,1
46-50,Tennessee,Memphis,Graceland,Sightseeing,3,720,2
61-65,California,San Francisco,Alcatraz Island,Hiking,4,1191,4
46-50,Indiana,Bloomington,Monroe Lake,Theme Parks,6,1328,2
61-65,Tennessee,Memphis,Graceland,Museum,14,4187,3
66-70,California,San Diego,Balboa Park,Museum,14,4000,5
61-65,California,Los Angeles,Santa Monica Pier,Sightseeing,14,3664,4
36-40,Texas,Austin,The State Capitol,Boating,5,1136,1
61-65,Nevada,Reno,Lake Tahoe,Hiking,1,237,2
31-35,New Mexico,Albuquerque,Sandia Peak Tramway,Hiking,7,1398,2
66-70,Washington,Seattle,Space Needle,Boating,5,1586,5
66-70,Indiana,Indianapolis,Indianapolis Motor Speedway,Visit Historical Sites,14,3858,3
46-50,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Boating,3,549,1
61-65,Michigan,Ann Arbor,University of Michigan,Museum,10,2336,3
21-25,New York,New York City,Central Park,Museum,12,1983,1
36-40,Massachusetts,Boston,Freedom Trail,Boating,6,1403,5
66-70,Massachusetts,Boston,Freedom Trail,Visit Historical Sites,11,2735,4
66-70,Iowa,Des Moines,Iowa State Capitol,Hiking,9,2072,3
51-55,Washington,Seattle,Space Needle,Sightseeing,13,3061,3
66-70,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Sightseeing,8,2227,1
51-55,Illinois,Springfield,Lincoln Home National Historic Site,Hiking,5,1421,3
46-50,Florida,Orlando,Universal Studios,Hiking,11,2846,2
51-55,Nevada,Reno,Lake Tahoe,Sightseeing,10,2148,2
26-30,Massachusetts,Boston,Freedom Trail,Theme Parks,10,1967,2
46-50,Arizona,Phoenix,Desert Botanical Garden,Visit Historical Sites,8,1523,5
46-50,Massachusetts,Boston,Freedom Trail,Sightseeing,5,1222,3
41-45,Nebraska,Omaha,Henry Doorly Zoo,Sightseeing,3,743,3
66-70,Arizona,Grand Canyon Village,Grand Canyon,Theme Parks,8,2252,4
66-70,New Mexico,Santa Fe,Santa Fe Plaza,Hiking,6,2051,4
51-55,Washington,Spokane,Manito Park,Visit Historical Sites,1,257,1
41-45,Washington,Seattle,Space Needle,Museum,12,2105,5
41-45,California,San Francisco,Alcatraz Island,Hiking,10,2277,1
46-50,Florida,Miami,Everglades,Museum,12,2176,5
41-45,Michigan,Detroit,The Detroit Institute of Arts,Museum,12,2493,4
31-35,Illinois,Chicago,Millennium Park,Boating,8,1620,1
61-65,Nevada,Las Vegas,Red Rock Canyon,Sightseeing,4,979,2
46-50,Tennessee,Nashville,Grand Ole Opry,Museum,11,2907,2
51-55,New Mexico,Santa Fe,Santa Fe Plaza,Museum,9,2017,5
46-50,Washington,Seattle,Space Needle,Museum,9,2214,2
51-55,Nevada,Las Vegas,The Strip,Museum,1,237,1
66-70,New Mexico,Albuquerque,Sandia Peak Tramway,Hiking,3,692,5
66-70,Oregon,Eugene,Mount Pisgah,Museum,11,3033,4
61-65,Texas,Houston,Houston Zoo,Sightseeing,5,1189,3
31-35,Iowa,Des Moines,Iowa State Capitol,Visit Historical Sites,14,2105,3
66-70,California,San Diego,Balboa Park,Sightseeing,12,4054,3
66-70,Texas,Dallas,The Sixth Floor Museum,Sightseeing,1,288,4
41-45,Nevada,Reno,Lake Tahoe,Museum,14,3203,3
56-60,Michigan,Ann Arbor,University of Michigan,Theme Parks,11,3278,4
21-25,Nevada,Las Vegas,The Strip,Museum,2,345,4
61-65,Illinois,Springfield,Lincoln Home National Historic Site,Visit Historical Sites,2,624,3
26-30,New York,Buffalo,Buffalo Zoo,Hiking,13,1995,4
36-40,Iowa,Des Moines,Iowa State Capitol,Theme Parks,10,1767,2
31-35,Illinois,Springfield,Lincoln Home National Historic Site,Theme Parks,1,158,3
31-35,New York,Buffalo,Niagara Falls,Hiking,2,298,5
41-45,Massachusetts,Cambridge,Harvard University,Boating,8,1500,4
21-25,New York,New York City,Empire State Building,Sightseeing,9,1340,2
41-45,Arizona,Phoenix,Desert Botanical Garden,Visit Historical Sites,4,896,3
51-55,Massachusetts,Boston,Freedom Trail,Sightseeing,14,2689,1
56-60,New York,Buffalo,Niagara Falls,Sightseeing,1,274,3
66-70,California,Los Angeles,Santa Monica Pier,Hiking,4,1355,4
46-50,New Mexico,Albuquerque,Sandia Peak Tramway,Sightseeing,6,1310,5
36-40,Arizona,Phoenix,Desert Botanical Garden,Hiking,11,2104,3
21-25,New York,Buffalo,Buffalo Zoo,Boating,9,1093,3
51-55,Nebraska,Omaha,Henry Doorly Zoo,Boating,5,1394,5
31-35,Nevada,Las Vegas,The Strip,Theme Parks,8,1648,5
26-30,Massachusetts,Boston,Freedom Trail,Visit Historical Sites,3,398,4
51-55,Nebraska,Lincoln,Sunken Gardens,Visit Historical Sites,6,1527,4
66-70,Washington,Seattle,Pike Place Market,Museum,10,2332,4
56-60,Iowa,Des Moines,Iowa State Capitol,Museum,11,2523,1
61-65,Michigan,Ann Arbor,University of Michigan,Museum,3,772,2
56-60,Arizona,Grand Canyon Village,Grand Canyon,Visit Historical Sites,4,998,1
66-70,Nebraska,Omaha,Henry Doorly Zoo,Visit Historical Sites,6,1710,2
61-65,Texas,Austin,The State Capitol,Visit Historical Sites,8,2320,3
51-55,Florida,Orlando,Walt Disney World,Visit Historical Sites,3,773,2
51-55,Tennessee,Memphis,Graceland,Museum,14,3636,2
21-25,Indiana,Indianapolis,Indianapolis Motor Speedway,Boating,12,1458,1
21-25,Oregon,Eugene,Mount Pisgah,Visit Historical Sites,1,137,5
26-30,Texas,Austin,The State Capitol,Theme Parks,2,313,2
61-65,Tennessee,Nashville,Grand Ole Opry,Sightseeing,10,2544,4
41-45,Michigan,Ann Arbor,University of Michigan,Theme Parks,9,1726,4
36-40,Arizona,Grand Canyon Village,Grand Canyon,Theme Parks,5,786,5
66-70,Tennessee,Nashville,Grand Ole Opry,Sightseeing,10,3345,3
31-35,Florida,Orlando,Universal Studios,Theme Parks,14,2475,4
46-50,Indiana,Bloomington,Monroe Lake,Visit Historical Sites,9,1852,3
66-70,Indiana,Indianapolis,Indianapolis Motor Speedway,Visit Historical Sites,3,688,4
36-40,Nebraska,Lincoln,Sunken Gardens,Boating,5,1145,5
46-50,Arizona,Grand Canyon Village,Grand Canyon,Hiking,10,2157,1
51-55,Michigan,Detroit,The Detroit Institute of Arts,Boating,11,2648,1
26-30,New York,New York City,Central Park,Visit Historical Sites,12,2295,5
61-65,New York,New York City,Empire State Building,Museum,6,1743,4
56-60,Arizona,Grand Canyon Village,Grand Canyon,Theme Parks,6,1256,4
66-70,Indiana,Indianapolis,Indianapolis Motor Speedway,Boating,6,1828,5
31-35,Nevada,Las Vegas,The Strip,Theme Parks,1,214,3
61-65,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,7,2125,3
31-35,Nevada,Reno,Lake Tahoe,Museum,7,1306,5
41-45,Colorado,Denver,Rocky Mountain National Park,Visit Historical Sites,11,2468,1
51-55,Washington,Seattle,Space Needle,Hiking,8,2062,2
61-65,Massachusetts,Boston,Freedom Trail,Theme Parks,11,2996,2
51-55,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,4,1014,1
36-40,New York,Buffalo,Niagara Falls,Boating,5,949,5
36-40,California,Los Angeles,Santa Monica Pier,Sightseeing,1,218,4
21-25,Indiana,Indianapolis,Indianapolis Motor Speedway,Museum,11,1962,4
56-60,Washington,Seattle,Pike Place Market,Sightseeing,8,2365,2
26-30,Texas,Austin,Zilker Metropolitan Park,Theme Parks,1,178,3
36-40,Colorado,Denver,Rocky Mountain National Park,Sightseeing,7,1464,1
26-30,New York,New York City,Central Park,Theme Parks,14,1864,2
61-65,California,San Diego,Balboa Park,Boating,7,1957,3
66-70,Michigan,Ann Arbor,University of Michigan,Visit Historical Sites,2,603,4
21-25,Massachusetts,Boston,Freedom Trail,Museum,13,1962,1
21-25,California,San Francisco,Alcatraz Island,Hiking,6,887,1
61-65,Michigan,Ann Arbor,University of Michigan,Sightseeing,12,3811,3
36-40,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,12,2506,3
51-55,Colorado,Denver,Rocky Mountain National Park,Visit Historical Sites,2,450,3
61-65,New York,Buffalo,Buffalo Zoo,Visit Historical Sites,8,2042,1
26-30,Florida,Miami,Everglades,Theme Parks,12,1584,2
51-55,New Mexico,Santa Fe,Santa Fe Plaza,Museum,8,2156,2
26-30,Tennessee,Nashville,Grand Ole Opry,Hiking,11,1682,1
51-55,Illinois,Springfield,Lincoln Home National Historic Site,Visit Historical Sites,2,393,4
21-25,Texas,Austin,Zilker Metropolitan Park,Boating,12,1957,3
56-60,Illinois,Springfield,Lincoln Home National Historic Site,Boating,13,2941,4
61-65,Nebraska,Lincoln,Sunken Gardens,Hiking,7,2267,2
46-50,Tennessee,Nashville,Grand Ole Opry,Theme Parks,12,3233,3
51-55,Washington,Spokane,Manito Park,Boating,6,1269,3
56-60,Texas,Houston,Space Center,Museum,9,1968,2
36-40,Nevada,Las Vegas,Red Rock Canyon,Theme Parks,4,817,3
66-70,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,1,239,5
56-60,Oregon,Eugene,Mount Pisgah,Boating,7,1458,1
66-70,Tennessee,Nashville,Grand Ole Opry,Museum,9,2999,1
36-40,New York,Buffalo,Niagara Falls,Boating,9,1803,1
51-55,Texas,Dallas,The Sixth Floor Museum,Sightseeing,12,3172,5
41-45,New York,Buffalo,Buffalo Zoo,Sightseeing,8,1629,1
46-50,Oregon,Portland,Portland Japanese Garden,Visit Historical Sites,11,2540,1
41-45,Massachusetts,Boston,Freedom Trail,Visit Historical Sites,14,2829,2
31-35,Nebraska,Omaha,Henry Doorly Zoo,Hiking,13,1950,2
26-30,Illinois,Chicago,Millennium Park,Theme Parks,6,1100,1
41-45,Massachusetts,Cambridge,Harvard University,Hiking,13,3239,5
56-60,Massachusetts,Cambridge,Harvard University,Hiking,7,1969,1
46-50,Colorado,Boulder,Boulder Creek Path,Boating,13,2923,3
51-55,Indiana,Bloomington,Monroe Lake,Sightseeing,7,1942,3
56-60,Nebraska,Omaha,Henry Doorly Zoo,Visit Historical Sites,13,3621,1
31-35,Massachusetts,Cambridge,Harvard University,Theme Parks,10,1736,5
61-65,Indiana,Bloomington,Monroe Lake,Museum,10,2369,3
61-65,Nevada,Reno,Lake Tahoe,Hiking,7,1962,4
41-45,Tennessee,Nashville,Grand Ole Opry,Theme Parks,4,846,4
36-40,Texas,Dallas,The Sixth Floor Museum,Visit Historical Sites,11,2572,3
36-40,Massachusetts,Cambridge,Harvard University,Sightseeing,3,663,5
61-65,Nebraska,Omaha,Henry Doorly Zoo,Visit Historical Sites,2,505,3
26-30,Texas,Dallas,The Sixth Floor Museum,Visit Historical Sites,11,2156,1
26-30,Nevada,Las Vegas,Red Rock Canyon,Theme Parks,14,2492,3
56-60,Tennessee,Nashville,Grand Ole Opry,Hiking,13,3499,3
66-70,Indiana,Indianapolis,Indianapolis Motor Speedway,Museum,10,2471,5
36-40,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,4,843,5
61-65,Michigan,Ann Arbor,University of Michigan,Hiking,6,1570,4
26-30,Florida,Orlando,Walt Disney World,Visit Historical Sites,3,406,3
21-25,California,San Diego,Balboa Park,Boating,13,1596,5
36-40,Colorado,Boulder,Boulder Creek Path,Hiking,8,1494,3
61-65,Iowa,Des Moines,Iowa State Capitol,Hiking,4,1122,2
46-50,Nebraska,Lincoln,Sunken Gardens,Museum,4,723,2
41-45,Illinois,Springfield,Lincoln Home National Historic Site,Boating,14,2874,1
51-55,Tennessee,Nashville,Grand Ole Opry,Visit Historical Sites,3,750,2
66-70,New Mexico,Albuquerque,Sandia Peak Tramway,Boating,4,1335,4
21-25,Nevada,Reno,Lake Tahoe,Sightseeing,7,902,2
41-45,Michigan,Ann Arbor,University of Michigan,Museum,9,2243,5
66-70,Washington,Seattle,Pike Place Market,Boating,10,2870,4
21-25,Texas,Dallas,The Sixth Floor Museum,Museum,1,173,4
41-45,Massachusetts,Cambridge,Harvard University,Boating,6,1066,1
26-30,Washington,Spokane,Manito Park,Museum,8,1286,4
46-50,California,Los Angeles,Santa Monica Pier,Boating,2,440,5
56-60,California,San Diego,San Diego Zoo,Sightseeing,4,893,2
36-40,Iowa,Des Moines,Iowa State Capitol,Museum,5,961,4
26-30,Tennessee,Memphis,Graceland,Visit Historical Sites,13,2307,1
46-50,New York,Buffalo,Niagara Falls,Theme Parks,10,2203,2
41-45,Michigan,Ann Arbor,University of Michigan,Boating,10,1691,2
31-35,New York,New York City,Central Park,Boating,6,1223,3
51-55,Oregon,Eugene,Mount Pisgah,Theme Parks,5,1028,1
21-25,New York,New York City,Central Park,Sightseeing,2,287,3
36-40,Indiana,Bloomington,Monroe Lake,Boating,10,1804,1
66-70,Nebraska,Omaha,Henry Doorly Zoo,Sightseeing,5,1240,3
56-60,California,Los Angeles,Hollywood,Theme Parks,8,1706,4
61-65,Illinois,Chicago,Willis Tower,Sightseeing,3,732,4
56-60,Michigan,Detroit,The Detroit Institute of Arts,Museum,1,205,2
56-60,New Mexico,Albuquerque,Sandia Peak Tramway,Theme Parks,7,1519,1
41-45,Nebraska,Omaha,Henry Doorly Zoo,Sightseeing,6,1088,2
41-45,Washington,Seattle,Pike Place Market,Museum,6,1116,3
46-50,New Mexico,Albuquerque,Sandia Peak Tramway,Museum,10,2641,1
36-40,Michigan,Detroit,The Detroit Institute of Arts,Museum,9,1845,1
31-35,Washington,Seattle,Pike Place Market,Hiking,12,1886,4
51-55,Colorado,Denver,Rocky Mountain National Park,Boating,4,848,4
41-45,Washington,Seattle,Pike Place Market,Theme Parks,2,411,1
41-45,Washington,Seattle,Space Needle,Boating,2,413,2
46-50,California,Los Angeles,Hollywood,Museum,14,3623,3
61-65,Oregon,Portland,Portland Japanese Garden,Museum,1,223,2
51-55,Nebraska,Lincoln,Sunken Gardens,Museum,10,2547,2
46-50,Arizona,Phoenix,Desert Botanical Garden,Visit Historical Sites,12,2490,4
51-55,Michigan,Ann Arbor,University of Michigan,Museum,5,1336,3
56-60,Tennessee,Memphis,Graceland,Visit Historical Sites,12,2932,2
51-55,Iowa,Des Moines,Iowa State Capitol,Boating,4,1092,5
26-30,Texas,Austin,Zilker Metropolitan Park,Boating,11,1702,4
66-70,Nebraska,Lincoln,Sunken Gardens,Museum,10,3402,2
21-25,California,San Diego,Balboa Park,Visit Historical Sites,8,1218,2
41-45,New Mexico,Albuquerque,Sandia Peak Tramway,Hiking,13,2573,5
26-30,Colorado,Boulder,Boulder Creek Path,Visit Historical Sites,2,288,5
66-70,Nebraska,Lincoln,Sunken Gardens,Museum,12,3667,4
56-60,Oregon,Eugene,Mount Pisgah,Museum,6,1746,1
26-30,Michigan,Detroit,The Detroit Institute of Arts,Hiking,9,1551,2
26-30,New Mexico,Albuquerque,Sandia Peak Tramway,Museum,10,1604,2
31-35,Michigan,Ann Arbor,University of Michigan,Theme Parks,1,181,4
41-45,Washington,Seattle,Pike Place Market,Boating,8,1392,5
51-55,Texas,Austin,Zilker Metropolitan Park,Boating,6,1257,3
41-45,Florida,Orlando,Universal Studios,Boating,8,1699,2
46-50,Indiana,Bloomington,Monroe Lake,Hiking,13,3082,5
66-70,New Mexico,Santa Fe,Santa Fe Plaza,Hiking,4,1127,5
66-70,Texas,Austin,Zilker Metropolitan Park,Theme Parks,9,2367,3
26-30,New York,Buffalo,Niagara Falls,Sightseeing,1,196,3
61-65,Iowa,Des Moines,Iowa State Capitol,Theme Parks,6,1657,4
51-55,Washington,Seattle,Space Needle,Museum,8,1782,5
51-55,Arizona,Grand Canyon Village,Grand Canyon,Theme Parks,11,3121,4
56-60,Illinois,Springfield,Lincoln Home National Historic Site,Museum,7,1746,3
66-70,Indiana,Bloomington,Monroe Lake,Museum,7,2117,1
51-55,New York,Buffalo,Buffalo Zoo,Boating,13,3456,3
36-40,Massachusetts,Boston,Fenway Park,Theme Parks,8,1289,1
36-40,New Mexico,Albuquerque,Sandia Peak Tramway,Sightseeing,2,341,2
21-25,Illinois,Springfield,Lincoln Home National Historic Site,Visit Historical Sites,4,641,4
21-25,Florida,Miami,Everglades,Hiking,1,120,3
61-65,Arizona,Grand Canyon Village,Grand Canyon,Theme Parks,13,2973,2
51-55,Washington,Spokane,Manito Park,Visit Historical Sites,7,2014,1
56-60,Massachusetts,Cambridge,Harvard University,Hiking,5,1355,2
51-55,New York,Buffalo,Buffalo Zoo,Visit Historical Sites,4,1126,2
36-40,Oregon,Eugene,Mount Pisgah,Museum,1,213,3
51-55,Michigan,Ann Arbor,University of Michigan,Visit Historical Sites,7,1521,1
46-50,Tennessee,Memphis,Graceland,Boating,14,3211,2
46-50,Oregon,Portland,Portland Japanese Garden,Theme Parks,1,268,1
51-55,Illinois,Springfield,Lincoln Home National Historic Site,Hiking,10,2842,3
61-65,Tennessee,Nashville,Grand Ole Opry,Boating,11,2910,2
31-35,Illinois,Springfield,Lincoln Home National Historic Site,Boating,9,1364,2
41-45,Oregon,Portland,Portland Japanese Garden,Theme Parks,3,589,4
66-70,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,9,2968,1
66-70,Illinois,Springfield,Lincoln Home National Historic Site,Boating,8,2248,2
31-35,Arizona,Grand Canyon Village,Grand Canyon,Museum,5,808,5
26-30,Washington,Seattle,Pike Place Market,Boating,1,154,3
26-30,Massachusetts,Boston,Fenway Park,Museum,7,1156,4
51-55,Oregon,Eugene,Mount Pisgah,Boating,8,2233,5
61-65,Colorado,Boulder,Boulder Creek Path,Sightseeing,6,1653,3
66-70,Oregon,Eugene,Mount Pisgah,Sightseeing,6,2045,4
36-40,Tennessee,Nashville,Grand Ole Opry,Hiking,5,1042,1
36-40,Oregon,Portland,Portland Japanese Garden,Boating,4,865,5
46-50,Massachusetts,Cambridge,Harvard University,Boating,9,2022,2
31-35,Nebraska,Lincoln,Sunken Gardens,Sightseeing,10,1841,2
21-25,Illinois,Chicago,Willis Tower,Museum,3,537,2
51-55,Indiana,Bloomington,Monroe Lake,Museum,6,1174,1
21-25,Texas,Austin,The State Capitol,Visit Historical Sites,1,172,4
36-40,Nebraska,Lincoln,Sunken Gardens,Museum,2,397,5
66-70,Arizona,Phoenix,Desert Botanical Garden,Boating,1,317,5
21-25,Nebraska,Omaha,Henry Doorly Zoo,Boating,11,1709,4
56-60,California,San Diego,San Diego Zoo,Visit Historical Sites,3,674,2
66-70,Nebraska,Omaha,Henry Doorly Zoo,Museum,3,725,1
21-25,Arizona,Phoenix,Desert Botanical Garden,Museum,5,647,1
31-35,Nebraska,Lincoln,Sunken Gardens,Boating,14,2370,5
26-30,Illinois,Chicago,Millennium Park,Museum,3,408,3
66-70,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,1,339,4
51-55,Colorado,Denver,Rocky Mountain National Park,Theme Parks,10,2411,5
31-35,Florida,Miami,Miami Beach,Visit Historical Sites,7,1390,2
66-70,Nevada,Reno,Lake Tahoe,Theme Parks,4,974,1
41-45,Florida,Orlando,Universal Studios,Visit Historical Sites,7,1703,3
66-70,Massachusetts,Cambridge,Harvard University,Visit Historical Sites,1,251,1
61-65,Nebraska,Lincoln,Sunken Gardens,Visit Historical Sites,7,1812,5
21-25,Illinois,Chicago,Willis Tower,Hiking,6,1004,5
66-70,New Mexico,Santa Fe,Santa Fe Plaza,Boating,3,937,1
26-30,Tennessee,Memphis,Graceland,Museum,2,278,5
26-30,Oregon,Eugene,Mount Pisgah,Theme Parks,10,1742,4
41-45,Arizona,Phoenix,Desert Botanical Garden,Museum,3,644,2
61-65,Washington,Spokane,Manito Park,Museum,4,980,5
66-70,New Mexico,Albuquerque,Sandia Peak Tramway,Boating,4,1301,5
21-25,Florida,Miami,Miami Beach,Visit Historical Sites,2,316,2
36-40,Iowa,Des Moines,Iowa State Capitol,Visit Historical Sites,10,1944,3
66-70,Illinois,Springfield,Lincoln Home National Historic Site,Theme Parks,6,2037,2
66-70,New York,New York City,Empire State Building,Visit Historical Sites,9,2319,1
21-25,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,3,509,3
26-30,Nebraska,Lincoln,Sunken Gardens,Museum,7,1360,5
36-40,Oregon,Eugene,Mount Pisgah,Visit Historical Sites,1,211,1
46-50,Oregon,Eugene,Mount Pisgah,Theme Parks,11,2294,5
56-60,Florida,Miami,Everglades,Hiking,7,1639,4
21-25,Tennessee,Nashville,Grand Ole Opry,Theme Parks,2,248,4
56-60,Nebraska,Lincoln,Sunken Gardens,Sightseeing,10,2366,5
36-40,Oregon,Portland,Portland Japanese Garden,Boating,11,2044,2
41-45,Nevada,Las Vegas,The Strip,Hiking,14,2536,2
61-65,New Mexico,Albuquerque,Sandia Peak Tramway,Theme Parks,10,2375,3
61-65,New York,Buffalo,Niagara Falls,Boating,13,4174,3
56-60,Tennessee,Memphis,Graceland,Museum,3,658,4
36-40,Michigan,Ann Arbor,University of Michigan,Theme Parks,1,210,2
31-35,Iowa,Des Moines,Iowa State Capitol,Museum,4,718,5
26-30,Nevada,Reno,Lake Tahoe,Boating,7,1098,4
41-45,Illinois,Springfield,Lincoln Home National Historic Site,Visit Historical Sites,13,2730,3
26-30,Illinois,Chicago,Millennium Park,Boating,1,142,4
36-40,Michigan,Ann Arbor,University of Michigan,Theme Parks,12,2612,5
26-30,California,Los Angeles,Santa Monica Pier,Theme Parks,5,768,3
21-25,New Mexico,Albuquerque,Sandia Peak Tramway,Visit Historical Sites,1,126,4
21-25,Massachusetts,Cambridge,Harvard University,Theme Parks,2,302,4
41-45,Indiana,Bloomington,Monroe Lake,Museum,8,1552,5
66-70,Tennessee,Nashville,Grand Ole Opry,Boating,14,4612,2
46-50,Michigan,Ann Arbor,University of Michigan,Hiking,10,2610,4
41-45,Florida,Orlando,Universal Studios,Boating,2,477,2
66-70,Nevada,Reno,Lake Tahoe,Sightseeing,10,2842,4
46-50,Tennessee,Memphis,Graceland,Boating,14,2784,1
36-40,Massachusetts,Boston,Fenway Park,Sightseeing,11,1849,2
56-60,Michigan,Detroit,The Detroit Institute of Arts,Museum,2,549,1
46-50,Tennessee,Memphis,Graceland,Visit Historical Sites,13,2391,5
26-30,Nevada,Reno,Lake Tahoe,Museum,14,2482,5
21-25,Texas,Austin,The State Capitol,Visit Historical Sites,13,1653,4
26-30,Washington,Spokane,Manito Park,Boating,7,1000,4
31-35,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Sightseeing,4,671,3
61-65,Indiana,Bloomington,Monroe Lake,Visit Historical Sites,12,3341,3
41-45,Colorado,Boulder,Boulder Creek Path,Hiking,9,1554,1
51-55,Tennessee,Nashville,Grand Ole Opry,Theme Parks,4,860,1
26-30,Arizona,Phoenix,Desert Botanical Garden,Hiking,1,168,5
31-35,Washington,Seattle,Space Needle,Museum,14,2669,1
61-65,Tennessee,Memphis,Graceland,Museum,2,629,1
21-25,Florida,Miami,Everglades,Sightseeing,12,1910,1
26-30,Washington,Seattle,Space Needle,Theme Parks,9,1647,5
61-65,Massachusetts,Boston,Fenway Park,Hiking,13,3701,2
51-55,Tennessee,Nashville,Grand Ole Opry,Hiking,7,1662,4
51-55,Arizona,Phoenix,Desert Botanical Garden,Sightseeing,5,1374,2
31-35,Oregon,Eugene,Mount Pisgah,Sightseeing,1,157,1
51-55,Nevada,Reno,Lake Tahoe,Boating,9,2586,5
61-65,New Mexico,Santa Fe,Santa Fe Plaza,Boating,8,2577,5
46-50,New Mexico,Santa Fe,Santa Fe Plaza,Sightseeing,2,506,2
46-50,Tennessee,Nashville,Grand Ole Opry,Sightseeing,6,1177,2
56-60,Washington,Spokane,Manito Park,Sightseeing,5,1056,5
31-35,Arizona,Grand Canyon Village,Grand Canyon,Theme Parks,14,2443,3
26-30,New York,Buffalo,Niagara Falls,Hiking,8,1425,3
56-60,California,San Francisco,Golden Gate Bridge,Theme Parks,14,4060,3
21-25,Washington,Seattle,Space Needle,Boating,7,1109,5
56-60,New Mexico,Santa Fe,Santa Fe Plaza,Visit Historical Sites,11,2943,1
26-30,Indiana,Indianapolis,Indianapolis Motor Speedway,Museum,12,2260,2
26-30,New York,New York City,Central Park,Sightseeing,5,986,2
66-70,New York,Buffalo,Niagara Falls,Hiking,8,2217,2
41-45,Nevada,Reno,Lake Tahoe,Museum,3,654,3
31-35,Arizona,Phoenix,Desert Botanical Garden,Theme Parks,12,2389,4
46-50,Oregon,Eugene,Mount Pisgah,Hiking,4,753,3
26-30,New York,New York City,Central Park,Hiking,14,2182,1
61-65,Washington,Spokane,Manito Park,Theme Parks,11,2973,1
56-60,New Mexico,Santa Fe,Santa Fe Plaza,Hiking,10,2889,3
51-55,New Mexico,Santa Fe,Santa Fe Plaza,Visit Historical Sites,8,1926,4
41-45,Indiana,Bloomington,Monroe Lake,Theme Parks,8,1593,3
26-30,New Mexico,Santa Fe,Santa Fe Plaza,Sightseeing,7,1226,4
31-35,Illinois,Chicago,Willis Tower,Museum,6,1023,2
56-60,Florida,Orlando,Walt Disney World,Boating,10,3046,3
21-25,New York,Buffalo,Buffalo Zoo,Museum,1,153,5
41-45,Colorado,Denver,Rocky Mountain National Park,Museum,14,2555,2
66-70,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Sightseeing,6,1587,4
